Shareholder - Name	Issuer - Name	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Data Source URL
Pensioenfonds Vervoer	Bank Rakyat Indonesia Persero	2025-12-31	4.360	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Banque Cantonale Vaudoise	2025-12-31	889	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	BARCLAYS BANK PLC	2025-12-31	17.300	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	BAWAG GROUP AG	2025-12-31	3.625	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	BB SEGURIDADE PARTICIPACOES SA	2025-12-31	13.542	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	BCE Inc	2025-12-31	869	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	BDO Unibank Inc	2025-12-31	2.420	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	BEAZLEY PLC	2025-12-31	13.651	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Becton Dickinson	2025-12-31	5.834	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Beiersdorf AG	2025-12-31	8.547	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	BeiGene Ltd	2025-12-31	2.577	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Beijing Compass Technology Dev	2025-12-31	61	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	BEIJING ENLIGHT MEDIA CO LTD	2025-12-31	156	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Beijing Kingsoft Office Softwa	2025-12-31	111	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Beijing Roborock Technology Co	2025-12-31	36	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Bentley Systems Inc	2025-12-31	246	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Best Buy Co	2025-12-31	2.610	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Bestechnic Shanghai Co Ltd	2025-12-31	62	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Bharti Airtel Ltd	2025-12-31	23.913	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	BIDVEST GROUP LTD	2025-12-31	8.825	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Big Yellow Group PLC	2025-12-31	2.445	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Bilibili Inc	2025-12-31	410	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	BIM Birlesik Magazalar AS	2025-12-31	5.993	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	BioMarin Pharmaceutical Inc	2025-12-31	595	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Bio-Rad Labs	2025-12-31	1.111	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	BKW AG	2025-12-31	2.069	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	BLACKROCK INC	2025-12-31	4.855	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Blackstone Inc	2025-12-31	2.820	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Bloomin' Brands Inc	2025-12-31	342	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	BLUE OWL CAPITAL CORP	2025-12-31	1.787	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	BNP Paribas	2025-12-31	22.365	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	BNP Paribas SA	2025-12-31	195	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	BOE Technology Group Co Ltd	2025-12-31	273	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	BOOKING HOLDINGS INC	2025-12-31	34.815	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Borgwarner Inc	2025-12-31	7.476	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Boston Beer Co Inc/The	2025-12-31	756	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Boston Properties LP	2025-12-31	4.703	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	BOSTON SCIENTIFIC CORP	2025-12-31	38.510	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Brambles Finance PLC	2025-12-31	5.400	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Bread Financial Holdings Inc	2025-12-31	3.669	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Bridgestone Corp	2025-12-31	4.317	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Brink's Co/The	2025-12-31	4.214	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Bristol Myers Squibb Company	2025-12-31	27.583	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	British Telecommunications PLC	2025-12-31	3.144	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Broadcom Inc	2025-12-31	135.905	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Broadridge Financial Solutions	2025-12-31	1.687	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	BROTHER INDUSTRIES LTD	2025-12-31	1.672	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Brown-Forman Corporation	2025-12-31	389	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	BUMRUNGRAD HOSPITAL PCL-NVDR	2025-12-31	15.753	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Bunge Global SA	2025-12-31	1.763	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	BURBERRY GROUP PLC	2025-12-31	3.220	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Cadence Design Inc	2025-12-31	36.522	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Caja Ahorros Barcelona	2025-12-31	4.519	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Pensioenfonds Vervoer	Cambricon Technologies Corp Lt	2025-12-31	673	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
