Shareholder - Name	Issuer - Name	Security - Type	Security - ISIN	Security - Report Date	Security - Market Value	Security - Market Value - Currency Code	Stock - Ticker	Stock - Number of Shares	Data Source URL
AP3	EPIROC AB-A	Equity	SE0015658109	2025-12-31	427,356	SEK	EPIA SS	2,036,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EPIROC AB-B	Equity	SE0015658117	2025-12-31	1,442,637	SEK	EPIB SS	7,727,032.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INVESTOR AB-A SHS	Equity	SE0015811955	2025-12-31	2,306,876	SEK	INVEA SS	7,018,180.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INVESTOR AB-B SHS	Equity	SE0015811963	2025-12-31	4,691,280	SEK	INVEB SS	14,198,790.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	GARO AB	Equity	SE0015812417	2025-12-31	12,574	SEK	GARO SS	734,479.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	LIFCO AB-B SHS	Equity	SE0015949201	2025-12-31	162,465	SEK	LIFCOB SS	461,547.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BEIJER REF AB	Equity	SE0015949748	2025-12-31	843,248	SEK	BEIJB SS	5,655,585.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HEXAGON AB-B SHS	Equity	SE0015961909	2025-12-31	2,371,103	SEK	HEXAB SS	21,653,907.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NOLATO AB-B SHS	Equity	SE0015962477	2025-12-31	82,359	SEK	NOLAB SS	1,332,664.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	RVRC HOLDING AB	Equity	SE0015962485	2025-12-31	278,473	SEK	RVRC SS	4,171,887.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NIBE INDUSTRIER AB-B SHS	Equity	SE0015988019	2025-12-31	798,874	SEK	NIBEB SS	22,427,683.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MILDEF GROUP AB	Equity	SE0016074249	2025-12-31	147,354	SEK	MILDEF SS	1,230,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SINCH AB SINCH SS Equity SEK 3,612,568.00 113,688 SE0016101844ELECTROLUX AB-B	Equity	SE0016589188	2025-12-31	63,780	SEK	ELUXB SS	1,000,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SYSTEMAIR AB	Equity	SE0016609499	2025-12-31	509,074	SEK	SYSR SS	5,844,712.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	FASTIGHETSBOLAGET EMILSHUS-B	Equity	SE0016785786	2025-12-31	181,850	SEK	EMILB SS	3,367,595.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TRUECALLER AB-B	Equity	SE0016787071	2025-12-31	48,451	SEK	TRUEB SS	2,510,396.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	STORSKOGEN GROUP AB-B	Equity	SE0016797732	2025-12-31	100,964	SEK	STORB SS	8,600,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CTEK AB	Equity	SE0016798763	2025-12-31	7,596	SEK	CTEK SS	600,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INTEA FASTIGHETER AB	Equity	SE0017072259	2025-12-31	820,930	SEK	INTEAB SS	12,428,921.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NIVIKA FASTIGHETER AB-B	Equity	SE0017083272	2025-12-31	131,239	SEK	NIVIB SS	3,069,928.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	DYNAVOX GROUP AB	Equity	SE0017105620	2025-12-31	265,480	SEK	DYVOX SS	2,602,744.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NCAB GROUP AB	Equity	SE0017160773	2025-12-31	19,120	SEK	NCAB SS	400,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INSTALCO AB	Equity	SE0017483506	2025-12-31	66,261	SEK	INSTAL SS	2,560,311.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ATLAS COPCO AB-A SHS	Equity	SE0017486889	2025-12-31	429,903	SEK	ATCOA SS	2,589,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ATLAS COPCO AB-B SHS	Equity	SE0017486897	2025-12-31	5,296,197	SEK	ATCOB SS	35,544,946.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MOMENTUM GROUP KOMPONENTER &	Equity	SE0017562523	2025-12-31	299,910	SEK	MMGRB SS	1,950,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ALLEIMA AB	Equity	SE0017615644	2025-12-31	81,850	SEK	ALLEI SS	1,000,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENGCON AB	Equity	SE0017769847	2025-12-31	107,363	SEK	ENGCONB SS	1,290,415.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BIOGAIA AB-B SHS	Equity	SE0017769995	2025-12-31	266,387	SEK	BIOGB SS	2,508,356.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	WALLENSTAM AB-B SHS	Equity	SE0017780133	2025-12-31	24,828	SEK	WALLB SS	600,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	FASTIGHETS AB BALDER-B SHRS	Equity	SE0017832488	2025-12-31	350,162	SEK	BALDB SS	5,134,345.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ADDNODE GROUP AB	Equity	SE0017885767	2025-12-31	75,221	SEK	ANODB SS	776,276.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	WIHLBORGS FASTIGHETER AB	Equity	SE0018012635	2025-12-31	267,341	SEK	WIHL SS	2,929,765.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HEXATRONIC GROUP AB	Equity	SE0018040677	2025-12-31	236,663	SEK	HTRO SS	10,271,824.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BOLIDEN AB	Equity	SE0020050417	2025-12-31	1,050,368	SEK	BOL SS	2,038,757.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	RUSTA AB	Equity	SE0020848356	2025-12-31	300,901	SEK	RUSTA SS	3,478,627.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	GRUVAKTIEBOLAGET VISCARIA	Equity	SE0021148160	2025-12-31	72,076	SEK	VISC SS	3,700,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AUTOLIV INC-SWED DEP RECEIPT	Equity	SE0021309614	2025-12-31	405,931	SEK	ALIV SS	364,064.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VOLVO CAR AB-B	Equity	SE0021628898	2025-12-31	578,357	SEK	VOLCARB SS	18,839,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SAAB AB-B	Equity	SE0021921269	2025-12-31	2,088,576	SEK	SAABB SS	3,885,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	PRISMA PROPERTIES AB	Equity	SE0022062055	2025-12-31	127,500	SEK	PRISMA SS	5,000,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AQ GROUP AB	Equity	SE0022062196	2025-12-31	283,368	SEK	AQ SS	1,436,955.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SECTRA AB-B SHS	Equity	SE0022419784	2025-12-31	194,106	SEK	SECTB SS	773,332.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ASMODEE GROUP AB-B	Equity	SE0023615638	2025-12-31	566,170	SEK	ASMDEE SS	5,344,253.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EMBRACER GROUP AB	Equity	SE0023615885	2025-12-31	70,639	SEK	EMBRACB SS	1,164,131.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ASKER HEALTHCARE GROUP AB	Equity	SE0024171458	2025-12-31	818,077	SEK	ASKER SS	9,692,857.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ATRIUM LJUNGBERG AB-B SHS ATRLJB SS Equity SEK 600,000.00 19,929 SE0024320832BUFAB AB	Equity	SE0025010671	2025-12-31	74,552	SEK	BUFAB SS	741,370.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENITY HOLDING AB	Equity	SE0025011554	2025-12-31	467,999	SEK	ENITY SS	4,488,771.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HACKSAW AB	Equity	SE0025138357	2025-12-31	76,102	SEK	HACK SS	1,199,596.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MYCRONIC AB	Equity	SE0025158629	2025-12-31	653,672	SEK	MYCR SS	2,927,982.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	COFFEE STAIN GROUP AB-B	Equity	SE0026599557	2025-12-31	26,950	SEK	COFFEEB SS	1,164,131.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	GRUVAKTIEBOLAGET VISCARI-BTA	Equity	SE0027077835	2025-12-31	43,246	SEK	VISCBTA SS	2,220,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
