Shareholder - Name	Issuer - Name	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Stock - Percent Ownership	Data Source URL
BPL Pension	Enel SpA	2023-12-31	7.873	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	Enexis Holding BV	2023-12-31	1.289	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Engie	2023-12-31	7.169	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	EON AG	2023-12-31	8.916	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	ESB Finance Limited	2023-12-31	1.522	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	ESSITY AB	2023-12-31	1.161	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Eurofins Scientific	2023-12-31	491	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	Eurogrid Gmbh	2023-12-31	5.327	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	EVERETT SPINCO INC	2023-12-31	8.439	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	Exxon mobil corp	2023-12-31	523	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	Fairfax Financial Holdings Ltd	2023-12-31	4.186	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	FASTIGHETS AB BALDER	2023-12-31	293	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	FIDELIDADE CIA SEGUROS	2023-12-31	5.157	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Fluviu System OP	2023-12-31	2.721	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Fonciere Des Regions	2023-12-31	1.883	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Fortum Oyj	2023-12-31	1.849	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Fresenius SE	2023-12-31	1.928	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Gecina	2023-12-31	665	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	General Electric Co	2023-12-31	431	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	Glencore Funding LLC	2023-12-31	5.416	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Goldman Sachs Group Inc	2023-12-31	1.312	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Goodman Funding Pty Ltd	2023-12-31	5.042	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	GRAND CITY PROPERTIES SA	2023-12-31	6.524	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	Heathrow Funding Ltd	2023-12-31	2.359	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	HEIDELBERGCEMENT FINANCE	2023-12-31	1.391	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Heineken Holding NV	2023-12-31	86	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	HERAEUS FINANCE GMBH	2023-12-31	9.256	x1_000	EUR	0,06%	https://www.bplpensioen.nl/beleggen
BPL Pension	HOWOGE WOHNUNGS	2023-12-31	3.380	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Huhtamaki OYJ	2023-12-31	419	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	Iberdrola International BV	2023-12-31	6.859	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	IBM Corp	2023-12-31	3.190	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	INFINEON TECHNOLOGIES AG	2023-12-31	3.109	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	ING Groep NV	2023-12-31	28.195	x1_000	EUR	0,17%	https://www.bplpensioen.nl/beleggen
BPL Pension	Ing-Diba Ag	2023-12-31	9.437	x1_000	EUR	0,06%	https://www.bplpensioen.nl/beleggen
BPL Pension	International Flavors & Fragrances	2023-12-31	667	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	Investec PLC	2023-12-31	10.753	x1_000	EUR	0,07%	https://www.bplpensioen.nl/beleggen
BPL Pension	Investor AB	2023-12-31	1.810	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	ISLANDSBANKI	2023-12-31	17.400	x1_000	EUR	0,11%	https://www.bplpensioen.nl/beleggen
BPL Pension	Italgas SpA	2023-12-31	950	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	JAB HOLDINGS BV	2023-12-31	4.345	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	JP Morgan Chase & Co	2023-12-31	14.293	x1_000	EUR	0,09%	https://www.bplpensioen.nl/beleggen
BPL Pension	KBC Groep NV	2023-12-31	10.603	x1_000	EUR	0,07%	https://www.bplpensioen.nl/beleggen
BPL Pension	Keb Hana Ban	2023-12-31	5.180	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	KERING	2023-12-31	7.918	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	Kojamo Oyj	2023-12-31	275	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	Koninklijke Ahold Delhaize NV	2023-12-31	1.778	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	KOREA HOUSING FINANCE CO	2023-12-31	18.752	x1_000	EUR	0,12%	https://www.bplpensioen.nl/beleggen
BPL Pension	KRAFT HEINZ FOODS CO	2023-12-31	587	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	LANDSBANKINN HF	2023-12-31	21.218	x1_000	EUR	0,13%	https://www.bplpensioen.nl/beleggen
BPL Pension	LANSFORSAKRINGAR BANK	2023-12-31	6.977	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	Lanxess Finance BV	2023-12-31	488	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	LEASYS SPA	2023-12-31	15.917	x1_000	EUR	0,10%	https://www.bplpensioen.nl/beleggen
BPL Pension	Lehman Brothers Holdings Inc	2023-12-31	0	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	LIBERTY MUTUAL GROUP INC	2023-12-31	4.711	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	LOGICOR FINANCING SARL	2023-12-31	1.104	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Lonza Group AG	2023-12-31	1.059	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	LUMINOR BANK ESTONIA	2023-12-31	1.839	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	LVMH Moet Hennessy Louis Vuitton	2023-12-31	8.230	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	Macquarie Group Ltd	2023-12-31	4.754	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Medtronic Inc	2023-12-31	2.225	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	MERCEDES-BENZ CA FIN INC	2023-12-31	5.625	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	MERLIN PROPERTIES SOCIMI	2023-12-31	427	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	Metavante Technologies Inc	2023-12-31	9.457	x1_000	EUR	0,06%	https://www.bplpensioen.nl/beleggen
BPL Pension	MetLife Inc	2023-12-31	4.752	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Michelin Luxembourg	2023-12-31	386	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	Mitsubishi UFJ Financial Group	2023-12-31	2.705	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Mizuho Bank Ltd	2023-12-31	5.372	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Morgan Stanley	2023-12-31	13.816	x1_000	EUR	0,09%	https://www.bplpensioen.nl/beleggen
BPL Pension	National Bank of Australia	2023-12-31	5.481	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	National Bank of Canada	2023-12-31	10.892	x1_000	EUR	0,07%	https://www.bplpensioen.nl/beleggen
BPL Pension	National Grid PLC	2023-12-31	8.288	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	Nationwide Building Society	2023-12-31	25.367	x1_000	EUR	0,16%	https://www.bplpensioen.nl/beleggen
